Id,Total
1000000US410050201001050,5
1000000US410050201001051,0
1000000US410050208001022,13
1000000US410050208001023,0
1000000US410050208001024,7
1000000US410050208001025,4
1000000US410050208001026,8
1000000US410050208001027,6
1000000US410050208001028,4
1000000US410050208001031,6
1000000US410050208001042,9
1000000US410050208001043,8
1000000US410050208001044,3
1000000US410050209001000,0
1000000US410050209001004,4
1000000US410050209001008,24
1000000US410050209001022,28
1000000US410050210001003,2
1000000US410050210002000,0
1000000US410050210002002,1
1000000US410050210002004,0
1000000US410050216014001,0
1000000US410050216014005,1
1000000US410050216014007,2
1000000US410050216014008,3
1000000US410050216014009,0
1000000US410050216014011,3
1000000US410050222061000,17
1000000US410050222061002,9
1000000US410050222061013,16
1000000US410050222062002,6
1000000US410050222062007,0
1000000US410050222062009,32
1000000US410050222062010,16
1000000US410050222062011,20
1000000US410050222081004,0
1000000US410050222081005,1
1000000US410050222081009,0
1000000US410050222082000,5
1000000US410050222082001,2
1000000US410050222082004,8
1000000US410050222082012,1
1000000US410050222082036,10
1000000US410510001001000,1
1000000US410510001001001,0
1000000US410510001001002,0
1000000US410510001001003,0
1000000US410510001001004,0
1000000US410510001001005,54
1000000US410510001001006,3
1000000US410510001001007,2
1000000US410510001001008,8
1000000US410510001001009,8
1000000US410510001001010,10
1000000US410510001001011,12
1000000US410510001001012,0
1000000US410510001001013,7
1000000US410510001001014,18
1000000US410510001001015,7
1000000US410510001001016,9
1000000US410510001001017,8
1000000US410510001001018,19
1000000US410510001001019,20
1000000US410510001001020,8
1000000US410510001001021,19
1000000US410510001001022,9
1000000US410510001001023,26
1000000US410510001001024,8
1000000US410510001001025,0
1000000US410510001001026,0
1000000US410510001001027,0
1000000US410510001001028,0
1000000US410510001001029,0
1000000US410510001001030,51
1000000US410510001001031,0
1000000US410510001001032,0
1000000US410510001001033,0
1000000US410510001001034,11
1000000US410510001001035,11
1000000US410510001001036,4
1000000US410510001001037,7
1000000US410510001001038,3
1000000US410510001001039,1
1000000US410510001002000,5
1000000US410510001002001,26
1000000US410510001002002,5
1000000US410510001002003,12
1000000US410510001002004,18
1000000US410510001002005,0
1000000US410510001002006,10
1000000US410510001002007,16
1000000US410510001002008,16
1000000US410510001002009,17
1000000US410510001002010,16
1000000US410510001002011,16
1000000US410510001002012,12
1000000US410510001002013,12
1000000US410510001002014,9
1000000US410510001002015,21
1000000US410510001002016,9
1000000US410510001002017,14
1000000US410510001002018,16
1000000US410510001002019,12
1000000US410510001002020,22
1000000US410510001002021,17
1000000US410510001002022,15
1000000US410510001002023,17
1000000US410510001002024,19
1000000US410510001002025,15
1000000US410510001002026,16
1000000US410510001002027,22
1000000US410510001002028,16
1000000US410510001003000,17
1000000US410510001003001,9
1000000US410510001003002,27
1000000US410510001003003,28
1000000US410510001003004,17
1000000US410510001003005,14
1000000US410510001003006,16
1000000US410510001003007,19
1000000US410510001003008,25
1000000US410510001003009,24
1000000US410510001003010,8
1000000US410510001003011,26
1000000US410510001003012,16
1000000US410510001003013,20
1000000US410510001003014,9
1000000US410510001003015,9
1000000US410510001003016,18
1000000US410510001003017,12
1000000US410510001004000,15
1000000US410510001004001,27
1000000US410510001004002,18
1000000US410510001004003,19
1000000US410510001004004,24
1000000US410510001004005,15
1000000US410510001004006,21
